cell_id,region,cx,cy,cz,nx,ny,nz,ux,uy,uz,vx,vy,vz
323,top,-0.42614,1.01858,0.76753,-0.53564,0.32866,0.77786,0.84445,0.20847,0.4934,0.0,0.92115,-0.38921
324,top,-0.4046,1.13706,0.73667,-0.41848,0.28841,0.86122,0.90822,0.13289,0.39682,-0.0,0.94824,-0.31755
325,top,-0.40194,1.25961,0.6953,-0.30186,0.27967,0.91141,0.95335,0.08855,0.28858,0.0,0.956,-0.29335
326,top,-0.4256,1.37748,0.57583,-0.27307,0.40719,0.87157,0.962,0.11558,0.2474,0.0,0.906,-0.42327
327,top,-0.29963,-1.37539,0.51176,-0.17109,-0.44846,0.87727,0.98526,-0.07788,0.15234,0.0,0.8904,0.45518
328,top,-0.30032,-1.25961,0.57254,-0.11249,-0.36623,0.9237,0.99365,-0.04146,0.10457,0.0,0.9296,0.36857
329,top,-0.30121,-1.14248,0.61699,-0.09175,-0.29806,0.95013,0.99578,-0.02746,0.08754,0.0,0.95415,0.29932
330,top,-0.30094,-1.01941,0.64245,-0.11147,-0.15373,0.9818,0.99377,-0.01724,0.11013,-0.0,0.98796,0.1547
331,top,-0.30198,-0.9015,0.65941,-0.12948,-0.11793,0.98454,0.99158,-0.0154,0.12856,-0.0,0.9929,0.11893
332,top,-0.30105,-0.78091,0.67024,-0.09972,-0.08174,0.99165,0.99502,-0.00819,0.09938,0.0,0.99662,0.08215
333,top,-0.30046,-0.66009,0.68008,-0.06514,-0.04672,0.99678,0.99788,-0.00305,0.06507,0.0,0.9989,0.04682
334,top,-0.30053,-0.53867,0.67954,-0.08084,0.02823,0.99633,0.99673,0.00229,0.0808,0.0,0.9996,-0.02832
335,top,-0.30044,-0.43366,0.67568,-0.10461,0.06112,0.99263,0.99451,0.00643,0.10441,0.0,0.99811,-0.06146
336,top,-0.30117,0.18995,0.92894,-0.24061,-0.23451,0.94187,0.97062,-0.05813,0.23348,0.0,0.97037,0.2416
337,top,-0.30303,0.29933,0.94412,-0.24498,-0.07849,0.96635,0.96953,-0.01983,0.24418,0.0,0.99672,0.08096
338,top,-0.30423,0.41989,0.94929,-0.25057,0.00595,0.96808,0.9681,0.00154,0.25057,0.0,0.99998,-0.00615
339,top,-0.30219,0.54124,0.94557,-0.24703,0.06029,0.96713,0.96901,0.01537,0.24655,0.0,0.99806,-0.06222
340,top,-0.30323,0.6603,0.92914,-0.2396,0.18074,0.9539,0.97087,0.0446,0.23541,0.0,0.98252,-0.18616
341,top,-0.29995,0.76055,0.90701,-0.21421,0.28326,0.93481,0.97679,0.06212,0.20501,0.0,0.95703,-0.28999
342,top,-0.33939,1.26778,0.71147,-0.15881,0.32503,0.93227,0.98731,0.05228,0.14996,0.0,0.94426,-0.32921
343,top,-0.30394,1.37876,0.68298,-0.04746,0.21352,0.97579,0.99887,0.01014,0.04636,0.0,0.97689,-0.21376
344,top,-0.29171,1.46298,0.52444,-0.09607,0.42171,0.90163,0.99537,0.0407,0.08702,0.0,0.90582,-0.42367
345,top,-0.1728,-1.46134,0.42055,-0.0446,-0.59233,0.80446,0.999,-0.02645,0.03592,0.0,0.80526,0.59292
346,top,-0.18046,-1.38459,0.52757,-0.10213,-0.38561,0.91699,0.99477,-0.03959,0.09414,-0.0,0.92181,0.38763
347,top,-0.18007,-1.26228,0.58327,-0.0684,-0.32335,0.9438,0.99766,-0.02217,0.06471,-0.0,0.94602,0.32411
348,top,-0.18179,-1.14302,0.62238,-0.01305,-0.26692,0.96363,0.99991,-0.00348,0.01257,0.0,0.96371,0.26694
349,top,-0.18242,-1.02032,0.64699,0.014,-0.16334,0.98647,0.9999,0.00229,-0.01381,0.0,0.98657,0.16336
350,top,-0.18113,-0.90298,0.66614,0.01685,-0.13344,0.99091,0.99986,0.00225,-0.0167,0.0,0.99105,0.13346
351,top,-0.18319,-0.78187,0.67615,0.01782,-0.05561,0.99829,0.99984,0.00099,-0.01779,-0.0,0.99845,0.05562
352,top,-0.18174,-0.66088,0.68248,-0.00311,-0.02966,0.99956,1.0,-9e-05,0.00311,0.0,0.99956,0.02966
353,top,-0.18218,-0.53751,0.68268,-0.01044,0.00322,0.99994,0.99995,3e-05,0.01044,-0.0,0.99999,-0.00322
354,top,-0.1837,-0.44852,0.68333,-0.01371,-0.01234,0.99983,0.99991,-0.00017,0.01371,0.0,0.99992,0.01234
355,top,-0.17756,0.18426,0.94183,-0.05272,-0.23224,0.97123,0.99861,-0.01226,0.05128,-0.0,0.97258,0.23257
356,top,-0.17753,0.29783,0.95906,-0.04643,-0.0923,0.99465,0.99892,-0.00429,0.04623,0.0,0.99572,0.0924
357,top,-0.1767,0.42012,0.96528,-0.02347,-0.00171,0.99972,0.99972,-4e-05,0.02347,0.0,1.0,0.00171
358,top,-0.17556,0.54062,0.96211,0.00281,0.05335,0.99857,1.0,-0.00015,-0.0028,-0.0,0.99858,-0.05335
359,top,-0.17687,0.66,0.94602,-0.01443,0.19665,0.98037,0.9999,0.00284,0.01415,0.0,0.98047,-0.19667
360,top,-0.17793,0.76551,0.92147,-0.06973,0.26752,0.96102,0.99757,0.0187,0.06718,0.0,0.96337,-0.26818
361,top,-0.18558,1.41286,0.6779,-0.00958,0.03124,0.99947,0.99995,0.0003,0.00958,0.0,0.99951,-0.03124
